id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Credit,Duration,Purpose,age_polarize
0,67,Male,2,Own,Na,Little,1169,Common,6,Radio/Tv,Old
1,22,Female,2,Own,Little,Moderate,5951,Standart,48,Radio/Tv,Young
2,49,Male,1,Own,Little,Na,2096,Common,12,Education,Old
3,45,Male,2,Free,Little,Little,7882,Default-Risk,42,Furniture/Equipment,Old
4,53,Male,2,Free,Little,Little,4870,Standart,24,Car,Old
5,35,Male,1,Free,Na,Na,9055,Default-Risk,36,Education,Young
6,53,Male,2,Own,Quite Rich,Na,2835,Common,24,Furniture/Equipment,Old
7,35,Male,3,Rent,Little,Moderate,6948,Standart,36,Car,Young
8,61,Male,1,Own,Rich,Na,3059,Standart,12,Radio/Tv,Old
9,28,Male,3,Own,Little,Moderate,5234,Standart,30,Car,Young
10,25,Female,2,Rent,Little,Moderate,1295,Common,12,Car,Young
11,24,Female,2,Rent,Little,Little,4308,Standart,48,Business,Young
12,22,Female,2,Own,Little,Moderate,1567,Common,12,Radio/Tv,Young
13,60,Male,1,Own,Little,Little,1199,Common,24,Car,Old
14,28,Female,2,Rent,Little,Little,1403,Common,15,Car,Young
15,32,Female,1,Own,Moderate,Little,1282,Common,24,Radio/Tv,Young
16,53,Male,2,Own,Na,Na,2424,Common,24,Radio/Tv,Old
17,25,Male,2,Own,Na,Little,8072,Default-Risk,30,Business,Young
18,44,Female,3,Free,Little,Moderate,12579,Tail-Risk,24,Car,Young
19,31,Male,2,Own,Quite Rich,Na,3430,Standart,24,Radio/Tv,Young
20,48,Male,2,Own,Little,Na,2134,Common,9,Car,Old
21,44,Male,2,Rent,Quite Rich,Little,2647,Common,6,Radio/Tv,Young
22,48,Male,1,Rent,Little,Little,2241,Common,10,Car,Old
23,44,Male,2,Own,Moderate,Moderate,1804,Common,12,Car,Young
24,26,Male,2,Own,Na,Na,2069,Common,10,Furniture/Equipment,Young
25,36,Male,1,Own,Little,Little,1374,Common,6,Furniture/Equipment,Young
26,39,Male,1,Own,Little,Na,426,Low-Risk,6,Radio/Tv,Young
27,42,Female,2,Rent,Rich,Rich,409,Low-Risk,12,Radio/Tv,Young
28,34,Male,2,Own,Little,Moderate,2415,Common,7,Radio/Tv,Young
29,63,Male,2,Own,Little,Little,6836,Standart,60,Business,Old
30,36,Male,2,Own,Rich,Moderate,1913,Common,18,Business,Young
31,27,Male,2,Own,Little,Little,4020,Standart,24,Furniture/Equipment,Young
32,30,Male,2,Own,Moderate,Moderate,5866,Standart,18,Car,Young
33,57,Male,1,Rent,Na,Na,1264,Common,12,Business,Old
34,33,Female,3,Own,Little,Rich,1474,Common,12,Furniture/Equipment,Young
35,25,Male,1,Own,Little,Moderate,4746,Standart,45,Radio/Tv,Young
36,31,Male,2,Free,Little,Na,6110,Standart,48,Education,Young
37,37,Male,2,Own,Little,Rich,2100,Common,18,Radio/Tv,Young
38,37,Male,2,Own,Little,Rich,1225,Common,10,Domestic Appliances,Young
39,24,Male,2,Own,Little,Moderate,458,Low-Risk,9,Radio/Tv,Young
40,30,Male,3,Own,Quite Rich,Na,2333,Common,30,Radio/Tv,Young
41,26,Male,2,Own,Quite Rich,Moderate,1158,Common,12,Radio/Tv,Young
42,44,Male,1,Own,Little,Moderate,6204,Standart,18,Repairs,Young
43,24,Male,2,Rent,Moderate,Little,6187,Standart,30,Car,Young
44,58,Female,1,Free,Little,Little,6143,Standart,48,Car,Old
45,35,Female,3,Own,Little,Na,1393,Common,11,Car,Young
46,39,Male,2,Own,Quite Rich,Na,2299,Common,36,Radio/Tv,Young
47,23,Female,0,Rent,Quite Rich,Little,1352,Common,6,Car,Young
48,39,Male,1,Own,Little,Na,7228,Default-Risk,11,Car,Young
49,28,Female,2,Own,Moderate,Na,2073,Common,12,Radio/Tv,Young
50,29,Male,1,Own,Na,Moderate,2333,Common,24,Furniture/Equipment,Young
51,30,Male,3,Own,Little,Moderate,5965,Standart,27,Car,Young
52,25,Male,2,Own,Little,Na,1262,Common,12,Radio/Tv,Young
53,31,Male,2,Own,Na,Na,3378,Standart,18,Car,Young
54,57,Male,2,Free,Little,Moderate,2225,Common,36,Car,Old
55,26,Male,1,Own,Na,Na,783,Low-Risk,6,Car,Young
56,52,Male,3,Own,Na,Moderate,6468,Standart,12,Radio/Tv,Old
57,31,Female,2,Own,Little,Na,9566,Default-Risk,36,Radio/Tv,Young
58,23,Female,3,Own,Little,Rich,1961,Common,18,Car,Young
59,23,Female,1,Rent,Little,Little,6229,Standart,36,Furniture/Equipment,Young
60,27,Male,2,Own,Little,Moderate,1391,Common,9,Business,Young
61,50,Male,2,Own,Na,Moderate,1537,Common,15,Radio/Tv,Old
62,61,Male,3,Free,Little,Moderate,1953,Common,36,Business,Old
63,25,Male,2,Own,Little,Moderate,14421,Tail-Risk,48,Business,Young
64,26,Female,2,Own,Little,Na,3181,Standart,24,Radio/Tv,Young
65,48,Male,2,Own,Na,Na,5190,Standart,27,Repairs,Old
66,29,Female,2,Own,Little,Na,2171,Common,12,Radio/Tv,Young
67,22,Male,2,Own,Rich,Moderate,1007,Common,12,Car,Young
68,37,Male,2,Free,Little,Na,1819,Common,36,Education,Young
69,25,Female,2,Own,Na,Na,2394,Common,36,Radio/Tv,Young
70,30,Female,2,Own,Little,Na,8133,Default-Risk,36,Car,Young
71,46,Male,1,Rent,Na,Na,730,Low-Risk,7,Radio/Tv,Old
72,51,Male,3,Free,Little,Little,1164,Common,8,Vacation/Others,Old
73,41,Female,1,Own,Little,Moderate,5954,Standart,42,Business,Young
74,40,Male,3,Own,Na,Little,1977,Common,36,Education,Young
75,66,Male,3,Free,Little,Little,1526,Common,12,Car,Old
76,34,Male,2,Own,Little,Little,3965,Standart,42,Radio/Tv,Young
77,51,Male,2,Own,Little,Moderate,4771,Standart,11,Radio/Tv,Old
78,39,Male,1,Own,Na,Na,9436,Default-Risk,54,Car,Young
79,22,Male,2,Own,Little,Moderate,3832,Standart,30,Furniture/Equipment,Young
80,44,Female,2,Own,Na,Na,5943,Standart,24,Radio/Tv,Young
81,47,Male,2,Own,Quite Rich,Na,1213,Common,15,Radio/Tv,Old
82,24,Female,1,Rent,Moderate,Na,1568,Common,18,Business,Young
83,58,Female,1,Own,Little,Little,1755,Common,24,Vacation/Others,Old
84,52,Male,1,Own,Little,Little,2315,Common,10,Radio/Tv,Old
85,29,Female,3,Own,Little,Na,1412,Common,12,Business,Young
86,27,Female,2,Own,Little,Moderate,1295,Common,18,Furniture/Equipment,Young
87,47,Male,2,Free,Moderate,Moderate,12612,Tail-Risk,36,Education,Old
88,30,Male,3,Own,Moderate,Little,2249,Common,18,Car,Young
89,28,Male,2,Own,Little,Little,1108,Common,12,Repairs,Young
90,56,Male,2,Own,Little,Na,618,Low-Risk,12,Radio/Tv,Old
91,54,Male,2,Own,Little,Little,1409,Common,12,Car,Old
92,33,Female,1,Own,Na,Na,797,Low-Risk,12,Radio/Tv,Young
93,20,Male,2,Rent,Na,Rich,3617,Standart,24,Furniture/Equipment,Young
94,54,Male,2,Own,Rich,Moderate,1318,Common,12,Car,Old
95,58,Male,2,Rent,Little,Moderate,15945,Tail-Risk,54,Business,Old
96,61,Female,2,Own,Na,Na,2012,Common,12,Education,Old
97,34,Male,2,Own,Moderate,Moderate,2622,Common,18,Business,Young
98,36,Male,2,Own,Little,Moderate,2337,Common,36,Radio/Tv,Young
99,36,Male,3,Rent,Na,Moderate,7057,Default-Risk,20,Car,Young
100,41,Male,1,Rent,Moderate,Na,1469,Common,24,Car,Young
101,24,Male,2,Rent,Little,Moderate,2323,Common,36,Radio/Tv,Young
102,24,Female,2,Own,Little,Na,932,Low-Risk,6,Radio/Tv,Young
103,35,Male,2,Rent,Little,Moderate,1919,Common,9,Furniture/Equipment,Young
104,26,Male,2,Rent,Na,Na,2445,Common,12,Car,Young
105,39,Male,3,Own,Little,Moderate,11938,Default-Risk,24,Vacation/Others,Young
106,39,Male,3,Own,Little,Na,6458,Standart,18,Car,Young
107,32,Male,2,Own,Little,Moderate,6078,Standart,12,Car,Young
108,30,Female,2,Own,Na,Little,7721,Default-Risk,24,Furniture/Equipment,Young
109,35,Male,2,Own,Quite Rich,Moderate,1410,Common,14,Business,Young
110,31,Male,2,Own,Moderate,Moderate,1449,Common,6,Business,Young
111,23,Female,2,Rent,Little,Rich,392,Low-Risk,15,Education,Young
112,28,Male,1,Rent,Little,Moderate,6260,Standart,18,Car,Young
113,25,Female,2,Own,Little,Na,7855,Default-Risk,36,Car,Young
114,35,Male,2,Own,Quite Rich,Little,1680,Common,12,Radio/Tv,Young
115,47,Male,2,Own,Na,Na,3578,Standart,48,Radio/Tv,Old
116,30,Female,3,Own,Na,Little,7174,Default-Risk,42,Radio/Tv,Young
117,27,Female,2,Rent,Na,Little,2132,Common,10,Furniture/Equipment,Young
118,23,Female,2,Own,Quite Rich,Little,4281,Standart,33,Furniture/Equipment,Young
119,36,Male,3,Own,Quite Rich,Moderate,2366,Common,12,Car,Young
120,25,Female,2,Own,Little,Little,1835,Common,21,Radio/Tv,Young
121,41,Female,3,Rent,Little,Na,3868,Standart,24,Car,Young
122,24,Male,1,Rent,Little,Na,1768,Common,12,Furniture/Equipment,Young
123,63,Male,2,Free,Little,Rich,781,Low-Risk,10,Car,Old
124,27,Female,2,Rent,Na,Moderate,1924,Common,18,Furniture/Equipment,Young
125,30,Male,2,Own,Little,Little,2121,Common,12,Car,Young
126,40,Male,1,Own,Little,Little,701,Low-Risk,12,Radio/Tv,Young
127,30,Male,2,Own,Little,Moderate,639,Low-Risk,12,Repairs,Young
128,34,Male,3,Own,Little,Moderate,1860,Common,12,Car,Young
129,29,Female,2,Own,Little,Little,3499,Standart,12,Car,Young
130,24,Female,2,Own,Na,Moderate,8487,Default-Risk,48,Car,Young
131,29,Male,2,Own,Little,Little,6887,Standart,36,Education,Young
132,27,Male,1,Own,Little,Na,2708,Common,15,Furniture/Equipment,Young
133,47,Male,2,Free,Little,Na,1984,Common,18,Furniture/Equipment,Old
134,21,Female,2,Own,Moderate,Na,10144,Default-Risk,60,Radio/Tv,Young
135,38,Female,2,Own,Na,Na,1240,Common,12,Radio/Tv,Young
136,27,Male,2,Own,Rich,Na,8613,Default-Risk,27,Car,Young
137,66,Male,1,Own,Quite Rich,Moderate,766,Low-Risk,12,Radio/Tv,Old
138,35,Male,2,Own,Na,Moderate,2728,Common,15,Radio/Tv,Young
139,44,Female,1,Rent,Little,Rich,1881,Common,12,Radio/Tv,Young
140,27,Male,0,Own,Rich,Rich,709,Low-Risk,6,Car,Young
141,30,Female,3,Own,Little,Moderate,4795,Standart,36,Radio/Tv,Young
142,27,Male,3,Own,Little,Little,3416,Standart,27,Radio/Tv,Young
143,22,Male,2,Own,Little,Little,2462,Common,18,Furniture/Equipment,Young
144,23,Female,2,Own,Little,Na,2288,Common,21,Furniture/Equipment,Young
145,30,Male,2,Own,Moderate,Moderate,3566,Standart,48,Business,Young
146,39,Female,2,Own,Little,Little,860,Low-Risk,6,Car,Young
147,51,Female,2,Own,Moderate,Na,682,Low-Risk,12,Car,Old
148,28,Male,2,Own,Little,Little,5371,Standart,36,Furniture/Equipment,Young
149,46,Male,2,Own,Rich,Na,1582,Common,18,Radio/Tv,Old
150,42,Male,2,Free,Moderate,Na,1346,Common,6,Radio/Tv,Young
151,38,Male,2,Own,Little,Na,1924,Common,10,Radio/Tv,Young
152,24,Male,2,Own,Little,Rich,5848,Standart,36,Radio/Tv,Young
153,29,Female,2,Rent,Rich,Moderate,7758,Default-Risk,24,Car,Young
154,36,Male,3,Rent,Moderate,Moderate,6967,Standart,24,Business,Young
155,20,Female,2,Rent,Little,Little,1282,Common,12,Furniture/Equipment,Young
156,48,Male,2,Own,Moderate,Little,1288,Common,9,Repairs,Old
157,45,Male,1,Own,Little,Little,339,Low-Risk,12,Education,Old
158,38,Male,2,Own,Moderate,Moderate,3512,Standart,24,Car,Young
159,34,Male,1,Own,Na,Na,1898,Common,6,Radio/Tv,Young
160,36,Male,2,Own,Moderate,Na,2872,Common,24,Radio/Tv,Young
161,30,Female,2,Own,Little,Na,1055,Common,18,Car,Young
162,36,Male,2,Own,Quite Rich,Na,1262,Common,15,Domestic Appliances,Young
163,70,Male,3,Free,Little,Moderate,7308,Default-Risk,10,Car,Old
164,36,Male,2,Own,Quite Rich,Na,909,Low-Risk,36,Car,Young
165,32,Male,2,Own,Quite Rich,Na,2978,Common,6,Furniture/Equipment,Young
166,33,Female,2,Own,Little,Little,1131,Common,18,Furniture/Equipment,Young
167,20,Female,2,Own,Rich,Moderate,1577,Common,11,Furniture/Equipment,Young
168,25,Female,2,Rent,Little,Na,3972,Standart,24,Furniture/Equipment,Young
169,31,Male,2,Own,Little,Moderate,1935,Common,24,Business,Young
170,33,Male,2,Rent,Little,Little,950,Low-Risk,15,Car,Young
171,26,Female,2,Own,Little,Na,763,Low-Risk,12,Furniture/Equipment,Young
172,34,Female,3,Own,Little,Moderate,2064,Common,24,Furniture/Equipment,Young
173,33,Male,2,Own,Little,Moderate,1414,Common,8,Radio/Tv,Young
174,26,Male,2,Own,Little,Little,3414,Standart,21,Education,Young
175,53,Female,3,Own,Na,Na,7485,Default-Risk,30,Car,Old
176,42,Male,2,Own,Little,Little,2577,Common,12,Furniture/Equipment,Young
177,52,Male,2,Own,Quite Rich,Little,338,Low-Risk,6,Radio/Tv,Old
178,31,Male,3,Rent,Little,Na,1963,Common,12,Radio/Tv,Young
179,65,Male,2,Own,Little,Little,571,Low-Risk,21,Car,Old
180,28,Male,2,Own,Little,Na,9572,Default-Risk,36,Business,Young
181,30,Male,3,Own,Little,Moderate,4455,Standart,36,Business,Young
182,40,Male,1,Own,Na,Little,1647,Common,21,Car,Young
183,50,Male,2,Own,Rich,Na,3777,Standart,24,Furniture/Equipment,Old
184,36,Male,2,Own,Little,Moderate,884,Low-Risk,18,Car,Young
185,31,Male,2,Own,Little,Na,1360,Common,15,Radio/Tv,Young
186,74,Female,3,Free,Little,Moderate,5129,Standart,9,Car,Old
187,68,Male,0,Free,Little,Moderate,1175,Common,16,Car,Old
188,20,Male,2,Own,Moderate,Little,674,Low-Risk,12,Radio/Tv,Young
189,33,Female,2,Own,Little,Moderate,3244,Standart,18,Furniture/Equipment,Young
190,54,Male,3,Own,Rich,Na,4591,Standart,24,Business,Old
191,34,Male,1,Free,Moderate,Moderate,3844,Standart,48,Business,Young
192,36,Male,2,Own,Little,Moderate,3915,Standart,27,Business,Young
193,29,Male,2,Rent,Little,Na,2108,Common,6,Radio/Tv,Young
194,21,Male,2,Rent,Moderate,Moderate,3031,Standart,45,Radio/Tv,Young
195,34,Female,3,Own,Little,Moderate,1501,Common,9,Education,Young
196,28,Female,2,Own,Little,Na,1382,Common,6,Radio/Tv,Young
197,27,Female,2,Rent,Moderate,Moderate,951,Low-Risk,12,Furniture/Equipment,Young
198,36,Male,2,Free,Na,Moderate,2760,Common,24,Car,Young
199,40,Male,3,Own,Little,Moderate,4297,Standart,18,Furniture/Equipment,Young
200,52,Male,2,Own,Quite Rich,Na,936,Low-Risk,9,Education,Old
201,27,Male,1,Own,Little,Little,1168,Common,12,Car,Young
202,26,Male,2,Own,Little,Na,5117,Standart,27,Business,Young
203,21,Male,2,Rent,Little,Little,902,Low-Risk,12,Education,Young
204,38,Male,1,Own,Little,Na,1495,Common,12,Car,Young
205,38,Male,3,Free,Little,Little,10623,Default-Risk,30,Car,Young
206,43,Male,2,Own,Little,Na,1935,Common,12,Furniture/Equipment,Young
207,26,Male,2,Own,Little,Moderate,1424,Common,12,Domestic Appliances,Young
208,21,Male,1,Own,Little,Little,6568,Standart,24,Business,Young
209,55,Male,2,Own,Rich,Na,1413,Common,12,Car,Old
210,33,Male,2,Own,Na,Na,3074,Standart,9,Radio/Tv,Young
211,45,Female,1,Own,Na,Na,3835,Standart,36,Radio/Tv,Old
212,50,Male,2,Own,Little,Little,5293,Standart,27,Business,Old
213,66,Male,3,Own,Little,Rich,1908,Common,30,Business,Old
214,51,Male,2,Own,Na,Na,3342,Standart,36,Radio/Tv,Old
215,39,Female,1,Own,Na,Moderate,932,Low-Risk,6,Education,Young
216,31,Male,2,Own,Little,Little,3104,Standart,18,Business,Young
217,23,Male,2,Own,Little,Rich,3913,Standart,36,Radio/Tv,Young
218,24,Male,1,Rent,Little,Little,3021,Standart,24,Furniture/Equipment,Young
219,64,Female,2,Own,Little,Na,1364,Common,10,Car,Old
220,26,Male,1,Own,Little,Moderate,625,Low-Risk,12,Radio/Tv,Young
221,23,Female,2,Rent,Na,Little,1200,Common,12,Education,Young
222,30,Male,2,Own,Little,Na,707,Low-Risk,12,Radio/Tv,Young
223,32,Male,2,Own,Na,Na,2978,Common,24,Business,Young
224,30,Male,2,Own,Little,Na,4657,Standart,15,Car,Young
225,27,Male,2,Own,Little,Na,2613,Common,36,Repairs,Young
226,27,Male,2,Own,Rich,Moderate,10961,Default-Risk,48,Radio/Tv,Young
227,53,Male,3,Free,Little,Little,7865,Default-Risk,12,Furniture/Equipment,Old
228,22,Male,2,Own,Little,Na,1478,Common,9,Radio/Tv,Young
229,22,Male,2,Free,Little,Little,3149,Standart,24,Furniture/Equipment,Young
230,26,Male,2,Own,Little,Rich,4210,Standart,36,Radio/Tv,Young
231,51,Male,1,Free,Quite Rich,Na,2507,Common,9,Car,Old
232,35,Male,2,Own,Moderate,Na,2141,Common,12,Radio/Tv,Young
233,25,Male,1,Own,Little,Moderate,866,Low-Risk,18,Radio/Tv,Young
234,42,Male,1,Own,Little,Na,1544,Common,4,Radio/Tv,Young
235,30,Male,3,Own,Little,Little,1823,Common,24,Radio/Tv,Young
236,23,Male,0,Own,Na,Moderate,14555,Tail-Risk,6,Car,Young
237,61,Male,1,Rent,Moderate,Moderate,2767,Common,21,Business,Old
238,35,Female,2,Own,Little,Na,1291,Common,12,Radio/Tv,Young
239,39,Male,2,Own,Little,Little,2522,Common,30,Radio/Tv,Young
240,29,Female,2,Own,Na,Little,915,Low-Risk,24,Car,Young
241,51,Male,2,Own,Little,Na,1595,Common,6,Radio/Tv,Old
242,24,Male,2,Free,Little,Little,4605,Standart,48,Car,Young
243,27,Female,2,Own,Little,Na,1185,Common,12,Business,Young
244,35,Female,1,Own,Quite Rich,Na,3447,Standart,12,Education,Young
245,25,Male,2,Own,Little,Na,1258,Common,24,Business,Young
246,52,Male,2,Own,Little,Na,717,Low-Risk,12,Radio/Tv,Old
247,35,Male,2,Rent,Moderate,Na,1204,Common,6,Car,Young
248,26,Male,2,Own,Little,Rich,1925,Common,24,Furniture/Equipment,Young
249,22,Female,2,Rent,Little,Na,433,Low-Risk,18,Radio/Tv,Young
250,39,Female,1,Own,Rich,Little,666,Low-Risk,6,Car,Young
251,46,Female,1,Own,Little,Rich,2251,Common,12,Furniture/Equipment,Old
252,24,Female,2,Own,Little,Moderate,2150,Common,30,Car,Young
253,35,Male,2,Own,Moderate,Na,4151,Standart,24,Furniture/Equipment,Young
254,24,Male,2,Own,Na,Moderate,2030,Common,9,Furniture/Equipment,Young
255,27,Male,1,Own,Na,Moderate,7418,Default-Risk,60,Radio/Tv,Young
256,35,Male,1,Own,Little,Na,2684,Common,24,Radio/Tv,Young
257,29,Male,2,Free,Little,Little,2149,Common,12,Radio/Tv,Young
258,23,Female,2,Own,Moderate,Na,3812,Standart,15,Car,Young
259,57,Female,1,Own,Moderate,Na,1154,Common,11,Radio/Tv,Old
260,27,Male,2,Own,Little,Little,1657,Common,12,Furniture/Equipment,Young
261,55,Female,2,Own,Little,Little,1603,Common,24,Radio/Tv,Old
262,36,Male,3,Free,Little,Little,5302,Standart,18,Car,Young
263,57,Female,1,Free,Little,Na,2748,Common,12,Education,Old
264,32,Male,1,Own,Little,Na,1231,Common,10,Car,Young
265,37,Male,2,Own,Little,Moderate,802,Low-Risk,15,Radio/Tv,Young
266,36,Male,2,Own,Na,Na,6304,Standart,36,Business,Young
267,38,Female,2,Own,Little,Na,1533,Common,24,Radio/Tv,Young
268,45,Male,3,Own,Little,Little,8978,Default-Risk,14,Car,Old
269,25,Male,2,Own,Na,Na,999,Low-Risk,24,Radio/Tv,Young
270,32,Male,2,Own,Na,Na,2662,Common,18,Car,Young
271,37,Female,2,Rent,Quite Rich,Na,1402,Common,12,Furniture/Equipment,Young
272,36,Male,3,Free,Na,Moderate,12169,Tail-Risk,48,Car,Young
273,28,Male,2,Own,Little,Moderate,3060,Standart,48,Radio/Tv,Young
274,34,Male,1,Own,Little,Little,11998,Default-Risk,30,Repairs,Young
275,32,Male,2,Own,Little,Na,2697,Common,9,Radio/Tv,Young
276,26,Female,2,Own,Little,Na,2404,Common,18,Radio/Tv,Young
277,49,Male,1,Own,Na,Little,1262,Common,12,Furniture/Equipment,Old
278,32,Female,2,Own,Little,Na,4611,Standart,6,Furniture/Equipment,Young
279,29,Male,3,Rent,Moderate,Na,1901,Common,24,Radio/Tv,Young
280,23,Male,2,Rent,Rich,Na,3368,Standart,15,Car,Young
281,50,Male,2,Own,Little,Na,1574,Common,12,Furniture/Equipment,Old
282,49,Male,1,Own,Na,Rich,1445,Common,18,Radio/Tv,Old
283,63,Male,2,Own,Na,Na,1520,Common,15,Furniture/Equipment,Old
284,37,Male,2,Own,Moderate,Moderate,3878,Standart,24,Car,Young
285,35,Female,1,Own,Little,Little,10722,Default-Risk,47,Car,Young
286,26,Male,2,Own,Little,Little,4788,Standart,48,Car,Young
287,31,Male,3,Free,Moderate,Moderate,7582,Default-Risk,48,Vacation/Others,Young
288,49,Female,2,Own,Little,Moderate,1092,Common,12,Radio/Tv,Old
289,48,Male,2,Own,Little,Little,1024,Common,24,Radio/Tv,Old
290,26,Male,2,Own,Little,Na,1076,Common,12,Business,Young
291,28,Male,3,Rent,Little,Moderate,9398,Default-Risk,36,Car,Young
292,44,Female,3,Free,Little,Little,6419,Standart,24,Car,Young
293,56,Male,2,Free,Little,Rich,4796,Standart,42,Car,Old
294,46,Male,3,Own,Na,Na,7629,Default-Risk,48,Business,Old
295,26,Female,2,Own,Little,Moderate,9960,Default-Risk,48,Furniture/Equipment,Young
296,20,Female,2,Rent,Na,Na,4675,Standart,12,Car,Young
297,45,Male,1,Own,Na,Na,1287,Common,10,Car,Old
298,43,Male,2,Own,Little,Na,2515,Common,18,Furniture/Equipment,Young
299,32,Male,2,Own,Rich,Moderate,2745,Common,21,Furniture/Equipment,Young
300,54,Female,0,Own,Little,Na,672,Low-Risk,6,Car,Old
301,42,Female,2,Own,Little,Moderate,3804,Standart,36,Radio/Tv,Young
302,37,Male,1,Own,Na,Rich,1344,Common,24,Car,Young
303,49,Male,2,Own,Little,Little,1038,Common,10,Car,Old
304,44,Male,2,Free,Quite Rich,Na,10127,Default-Risk,48,Car,Young
305,33,Male,2,Own,Rich,Na,1543,Common,6,Furniture/Equipment,Young
306,24,Female,1,Rent,Na,Na,4811,Standart,30,Car,Young
307,33,Male,1,Own,Moderate,Little,727,Low-Risk,12,Radio/Tv,Young
308,24,Female,2,Own,Little,Moderate,1237,Common,8,Furniture/Equipment,Young
309,22,Male,1,Rent,Little,Moderate,276,Low-Risk,9,Car,Young
310,40,Male,0,Free,Na,Moderate,5381,Standart,48,Vacation/Others,Young
311,25,Male,2,Own,Moderate,Na,5511,Standart,24,Furniture/Equipment,Young
312,26,Female,2,Own,Little,Rich,3749,Standart,24,Furniture/Equipment,Young
313,25,Male,1,Own,Little,Moderate,685,Low-Risk,12,Car,Young
314,29,Male,1,Own,Na,Rich,1494,Common,4,Car,Young
315,31,Male,2,Own,Little,Little,2746,Common,36,Furniture/Equipment,Young
316,38,Male,1,Own,Little,Little,708,Low-Risk,12,Furniture/Equipment,Young
317,48,Female,1,Own,Na,Moderate,4351,Standart,24,Furniture/Equipment,Old
318,32,Male,2,Own,Little,Na,701,Low-Risk,12,Education,Young
319,27,Female,1,Own,Little,Little,3643,Standart,15,Furniture/Equipment,Young
320,28,Male,3,Own,Little,Moderate,4249,Standart,30,Car,Young
321,32,Male,2,Own,Little,Little,1938,Common,24,Radio/Tv,Young
322,34,Male,3,Free,Little,Little,2910,Common,24,Car,Young
323,28,Male,2,Own,Rich,Little,2659,Common,18,Furniture/Equipment,Young
324,36,Female,2,Own,Little,Na,1028,Common,18,Car,Young
325,39,Male,1,Own,Little,Little,3398,Standart,8,Car,Young
326,49,Male,2,Rent,Na,Na,5801,Standart,12,Furniture/Equipment,Old
327,34,Female,2,Own,Rich,Na,1525,Common,24,Car,Young
328,31,Male,2,Own,Little,Rich,4473,Standart,36,Radio/Tv,Young
329,28,Male,2,Own,Little,Moderate,1068,Common,6,Radio/Tv,Young
330,75,Male,3,Free,Little,Little,6615,Standart,24,Car,Old
331,30,Female,2,Own,Moderate,Na,1864,Common,18,Education,Young
